"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"03/09/2022";"1900";"14,0";"14,5";"13,7";"58,0";"59,0";"55,0";"5,8";"6,4";"5,2";"1025,3";"1025,3";"1025,1";"3,5";"186,0";"8,3";"1825,20";"0,0"
"03/09/2022";"2000";"13,1";"14,3";"12,9";"61,0";"62,0";"57,0";"5,8";"6,2";"5,4";"1025,4";"1025,5";"1025,2";"3,5";"186,0";"7,9";"1115,40";"0,0"
"03/09/2022";"2100";"11,5";"13,1";"11,5";"68,0";"68,0";"61,0";"5,7";"6,1";"5,5";"1026,0";"1026,0";"1025,4";"2,3";"184,0";"6,5";"357,00";"0,0"
"03/09/2022";"2200";"10,6";"11,5";"10,4";"73,0";"73,0";"68,0";"5,9";"6,0";"5,7";"1026,6";"1026,6";"1026,0";"2,0";"181,0";"4,9";"6,30";"0,0"
"03/09/2022";"2300";"9,6";"10,6";"9,5";"77,0";"77,0";"73,0";"5,7";"5,9";"5,5";"1027,0";"1027,0";"1026,6";"1,3";"181,0";"4,2";"";"0,0"
"04/09/2022";"0000";"8,6";"9,6";"8,6";"79,0";"79,0";"77,0";"5,3";"5,9";"5,2";"1027,3";"1027,3";"1027,0";"0,9";"171,0";"3,2";"";"0,0"
"04/09/2022";"0100";"7,3";"8,6";"7,3";"85,0";"85,0";"80,0";"5,0";"5,3";"4,8";"1027,6";"1027,7";"1027,2";"0,4";"116,0";"1,8";"";"0,0"
"04/09/2022";"0200";"6,9";"7,4";"6,9";"88,0";"88,0";"85,0";"5,1";"5,4";"5,0";"1027,5";"1027,6";"1027,4";"0,4";"44,0";"1,7";"";"0,0"
"04/09/2022";"0300";"7,0";"7,1";"6,5";"89,0";"89,0";"88,0";"5,4";"5,4";"4,7";"1027,4";"1027,5";"1027,4";"0,7";"188,0";"1,5";"";"0,0"
"04/09/2022";"0400";"6,6";"7,1";"6,4";"90,0";"90,0";"89,0";"5,1";"5,5";"4,9";"1027,5";"1027,5";"1027,4";"0,5";"132,0";"1,5";"";"0,0"
"04/09/2022";"0500";"5,8";"6,6";"5,7";"91,0";"91,0";"90,0";"4,4";"5,2";"4,3";"1027,1";"1027,5";"1027,1";"0,8";"267,0";"1,5";"";"0,0"
"04/09/2022";"0600";"5,4";"6,0";"5,4";"91,0";"91,0";"91,0";"4,1";"4,6";"4,1";"1026,5";"1027,1";"1026,5";"0,9";"289,0";"1,6";"";"0,0"
"04/09/2022";"0700";"6,0";"6,0";"5,1";"92,0";"92,0";"91,0";"4,8";"4,8";"3,8";"1026,1";"1026,5";"1026,0";"1,4";"294,0";"2,6";"";"0,0"
"04/09/2022";"0800";"5,9";"6,3";"5,7";"92,0";"92,0";"92,0";"4,7";"5,0";"4,4";"1026,3";"1026,3";"1026,1";"1,8";"295,0";"3,0";"";"0,0"
"04/09/2022";"0900";"5,6";"6,3";"5,6";"92,0";"92,0";"92,0";"4,5";"5,1";"4,4";"1026,8";"1026,8";"1026,3";"0,9";"262,0";"2,9";"";"0,0"
"04/09/2022";"1000";"5,6";"5,8";"5,1";"92,0";"92,0";"92,0";"4,4";"4,6";"4,0";"1027,4";"1027,4";"1026,8";"1,2";"282,0";"2,4";"11,70";"0,2"
"04/09/2022";"1100";"7,4";"7,4";"5,5";"93,0";"93,0";"92,0";"6,3";"6,3";"4,4";"1027,9";"1028,0";"1027,4";"1,5";"258,0";"3,2";"363,90";"0,0"
"04/09/2022";"1200";"11,1";"11,1";"7,4";"84,0";"93,0";"84,0";"8,5";"8,6";"6,3";"1027,8";"1028,0";"1027,7";"2,6";"289,0";"4,4";"1232,50";"0,0"
"04/09/2022";"1300";"13,6";"13,7";"11,1";"67,0";"84,0";"66,0";"7,6";"8,5";"7,0";"1028,2";"1028,2";"1027,8";"2,1";"293,0";"4,7";"1902,60";"0,0"
"04/09/2022";"1400";"15,2";"15,5";"13,4";"48,0";"68,0";"47,0";"4,3";"7,8";"4,3";"1028,5";"1028,5";"1028,2";"1,6";"287,0";"4,7";"2411,90";"0,0"
"04/09/2022";"1500";"15,9";"16,9";"15,2";"43,0";"51,0";"42,0";"3,4";"5,7";"3,2";"1028,3";"1028,5";"1028,3";"2,3";"256,0";"5,3";"2698,40";"0,0"
"04/09/2022";"1600";"18,5";"18,8";"15,9";"27,0";"45,0";"22,0";"-0,7";"4,4";"-3,9";"1027,5";"1028,3";"1027,5";"0,8";"5,0";"5,3";"2791,60";"0,0"
"04/09/2022";"1700";"18,0";"19,1";"17,0";"26,0";"32,0";"25,0";"-1,9";"0,7";"-2,7";"1026,6";"1027,5";"1026,6";"1,4";"206,0";"4,6";"2702,80";"0,0"
